WONum,Created,Ctr,Units
WO-PS-18-019838,11/12/2018 12:41PM,210,5
WO-PS-18-019880,11/12/2018 4:12PM,203,25
WO-PS-18-019881,11/13/2018 4:14PM,203,15
WO-PS-18-020014,11/12/2018 1:30PM,200,15
WO-PS-18-020047,11/12/2018 5:55AM,105,15
WO-PS-18-020173,11/13/2018 2:53PM,210,5
WO-PS-18-020360,11/13/2018 12:03PM,206,25
WO-PS-18-020655,11/12/2018 11:11AM,506,15
WO-PS-18-020932,11/13/2018 12:08PM,402,15
WO-PS-18-020986,11/13/2018 2:07PM,602,5
WO-PS-18-021073,11/12/2018 10:51AM,202,15
WO-PS-18-021402,11/12/2018 9:33AM,307,5
WO-PS-18-021741,11/13/2018 11:20AM,103,5
WO-PS-18-021804,11/12/2018 7:50AM,610,5
WO-PS-18-022161,11/12/2018 12:00PM,509,15
WO-PS-18-022460,11/12/2018 9:52AM,204,15
WO-PS-18-022739,11/12/2018 1:49PM,203,25
WO-PS-18-022859,11/13/2018 7:55AM,309,15
WO-PS-18-023051,11/12/2018 3:17PM,610,5
WO-PS-18-023052,11/13/2018 3:18PM,407,5
WO-PS-18-023149,11/13/2018 9:02AM,401,5
WO-PS-18-023152,11/13/2018 9:38AM,506,15
WO-PS-18-023158,11/13/2018 10:39AM,101,5
WO-PS-18-023170,11/12/2018 1:13PM,102,5
WO-PS-18-023199,11/13/2018 6:06AM,605,5
WO-PS-18-023200,11/12/2018 6:08AM,309,5
WO-PS-18-023246,11/12/2018 10:09AM,105,5
WO-PS-18-023446,11/13/2018 3:24PM,105,25
WO-PS-18-023590,11/13/2018 9:58AM,606,5
WO-PS-18-023685,11/12/2018 3:24PM,510,25
WO-PS-18-023829,11/12/2018 9:51AM,210,5
WO-PS-18-023894,11/13/2018 10:58AM,609,15
WO-PS-18-024071,11/12/2018 10:53AM,604,5
WO-PS-18-024140,11/12/2018 10:34AM,203,5
WO-PS-18-024179,11/12/2018 2:27PM,401,15
WO-PS-18-024184,11/13/2018 3:06PM,610,5
WO-PS-18-024397,11/13/2018 3:26PM,102,25
WO-PS-18-024437,11/13/2018 9:59AM,210,5
WO-PS-18-024459,11/13/2018 1:32PM,210,25
WO-PS-18-024596,11/12/2018 3:23PM,506,25
WO-PS-18-024629,11/12/2018 10:46AM,307,5
WO-PS-18-024708,11/12/2018 8:49AM,506,25
WO-PS-18-024761,11/13/2018 2:46PM,609,5
WO-PS-18-024768,11/12/2018 7:06AM,601,5
WO-PS-18-024782,11/12/2018 9:02AM,601,5
